incident_id,date,month,site_id,region,service_type,severity,status,start_time,resolved_time,duration_minutes,affected_customers,root_cause,assigned_team,escalation_level,recommended_action
INC-2026-01835,2026-01-16,2026-01,SITE-0233,Surabaya,Voice,Low,Closed,2026-01-16T12:39:00,2026-01-16T13:27:00,48,52,Power outage,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-01896,2026-01-16,2026-01,SITE-0018,Denpasar,Cloud Connectivity,Medium,Closed,2026-01-16T06:25:00,2026-01-16T08:18:00,113,69,Configuration drift,Field Operations,1,Assign service assurance follow-up
INC-2026-01900,2026-01-16,2026-01,SITE-0004,Medan,IPTV,Low,Resolved,2026-01-16T06:40:00,2026-01-16T07:31:00,51,51,Core router instability,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-00059,2026-01-17,2026-01,SITE-0061,Jakarta,Cloud Connectivity,Medium,Resolved,2026-01-17T18:51:00,2026-01-17T21:37:00,166,43,Configuration drift,Customer Assurance,1,Assign service assurance follow-up
INC-2026-00161,2026-01-17,2026-01,SITE-0138,Denpasar,Enterprise VPN,High,Closed,2026-01-17T22:26:00,2026-01-18T02:13:00,227,60,Fiber cut,Customer Assurance,2,Escalate to regional operations lead
INC-2026-00429,2026-01-17,2026-01,SITE-0115,Makassar,Mobile Broadband,Low,Resolved,2026-01-17T10:34:00,2026-01-17T11:37:00,63,21,Configuration drift,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00658,2026-01-17,2026-01,SITE-0083,Surabaya,Mobile Broadband,Medium,Resolved,2026-01-17T19:26:00,2026-01-17T21:59:00,153,121,Planned maintenance overrun,NOC Core,1,Assign service assurance follow-up
INC-2026-01395,2026-01-17,2026-01,SITE-0046,Semarang,Cloud Connectivity,Critical,Closed,2026-01-17T16:38:00,2026-01-18T03:15:00,637,401,Access node congestion,Enterprise Support,3,Open command bridge and dispatch field team
INC-2026-01398,2026-01-17,2026-01,SITE-0133,Surabaya,Cloud Connectivity,Medium,Closed,2026-01-17T05:06:00,2026-01-17T07:01:00,115,134,Planned maintenance overrun,Fiber Maintenance,1,Assign service assurance follow-up
INC-2026-01685,2026-01-17,2026-01,SITE-0144,Medan,Enterprise VPN,Low,Closed,2026-01-17T12:17:00,2026-01-17T13:12:00,55,5,Access node congestion,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-01994,2026-01-17,2026-01,SITE-0117,Yogyakarta,Mobile Broadband,Low,Resolved,2026-01-17T03:31:00,2026-01-17T04:31:00,60,43,Backhaul packet loss,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-02108,2026-01-17,2026-01,SITE-0179,Palembang,IPTV,Medium,Resolved,2026-01-17T10:30:00,2026-01-17T12:13:00,103,110,Access node congestion,NOC Core,1,Assign service assurance follow-up
INC-2026-00259,2026-01-18,2026-01,SITE-0130,Balikpapan,Enterprise VPN,Critical,Resolved,2026-01-18T12:46:00,2026-01-18T22:46:00,600,320,Power outage,Enterprise Support,3,Open command bridge and dispatch field team
INC-2026-00260,2026-01-18,2026-01,SITE-0062,Bandung,Voice,Low,Resolved,2026-01-18T18:14:00,2026-01-18T19:11:00,57,24,Fiber cut,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00524,2026-01-18,2026-01,SITE-0184,Medan,Enterprise VPN,Medium,Closed,2026-01-18T14:29:00,2026-01-18T17:14:00,165,29,Fiber cut,Fiber Maintenance,1,Assign service assurance follow-up
INC-2026-01190,2026-01-18,2026-01,SITE-0227,Yogyakarta,Cloud Connectivity,High,Escalated,2026-01-18T10:55:00,,314,167,Fiber cut,Field Operations,2,Escalate to regional operations lead
INC-2026-01462,2026-01-18,2026-01,SITE-0001,Jakarta,IPTV,Low,Resolved,2026-01-18T15:32:00,2026-01-18T16:53:00,81,30,Configuration drift,NOC Core,1,Monitor and resolve in standard queue
INC-2026-01579,2026-01-18,2026-01,SITE-0091,Jakarta,Enterprise VPN,Medium,Resolved,2026-01-18T16:06:00,2026-01-18T19:57:00,231,58,Access node congestion,Customer Assurance,1,Assign service assurance follow-up
INC-2026-01690,2026-01-18,2026-01,SITE-0232,Bandung,Enterprise VPN,High,Closed,2026-01-18T08:48:00,2026-01-18T13:50:00,302,36,Core router instability,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-00053,2026-01-19,2026-01,SITE-0095,Makassar,IPTV,Low,Resolved,2026-01-19T11:06:00,2026-01-19T12:17:00,71,17,Backhaul packet loss,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-00070,2026-01-19,2026-01,SITE-0107,Yogyakarta,Enterprise VPN,High,Resolved,2026-01-19T11:55:00,2026-01-19T18:54:00,419,21,Configuration drift,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-00083,2026-01-19,2026-01,SITE-0036,Semarang,Enterprise VPN,Medium,Closed,2026-01-19T10:33:00,2026-01-19T14:01:00,208,72,Power outage,Enterprise Support,1,Assign service assurance follow-up
INC-2026-00436,2026-01-19,2026-01,SITE-0170,Balikpapan,Voice,High,Resolved,2026-01-19T14:13:00,2026-01-19T18:42:00,269,460,Backhaul packet loss,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-00598,2026-01-19,2026-01,SITE-0035,Makassar,Mobile Broadband,Medium,Closed,2026-01-19T20:34:00,2026-01-19T22:47:00,133,94,Fiber cut,Customer Assurance,1,Assign service assurance follow-up
INC-2026-00717,2026-01-19,2026-01,SITE-0038,Denpasar,Enterprise VPN,Low,Resolved,2026-01-19T23:25:00,2026-01-20T00:26:00,61,14,Core router instability,NOC Core,1,Monitor and resolve in standard queue
INC-2026-00755,2026-01-19,2026-01,SITE-0207,Yogyakarta,Cloud Connectivity,Critical,Resolved,2026-01-19T14:08:00,2026-01-20T03:27:00,799,642,Fiber cut,Field Operations,3,Open command bridge and dispatch field team
INC-2026-01035,2026-01-19,2026-01,SITE-0191,Jakarta,Mobile Broadband,Medium,Resolved,2026-01-19T15:51:00,2026-01-19T17:47:00,116,246,Core router instability,NOC Core,1,Assign service assurance follow-up
INC-2026-01040,2026-01-19,2026-01,SITE-0238,Denpasar,Mobile Broadband,Medium,Resolved,2026-01-19T17:56:00,2026-01-19T21:13:00,197,82,Planned maintenance overrun,Customer Assurance,1,Assign service assurance follow-up
INC-2026-01188,2026-01-19,2026-01,SITE-0038,Denpasar,Enterprise VPN,Low,Closed,2026-01-19T13:42:00,2026-01-19T14:39:00,57,11,Planned maintenance overrun,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-01318,2026-01-19,2026-01,SITE-0016,Semarang,Enterprise VPN,Medium,Closed,2026-01-19T21:44:00,2026-01-19T23:06:00,82,48,Fiber cut,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01354,2026-01-19,2026-01,SITE-0108,Denpasar,Fiber Internet,Medium,Investigating,2026-01-19T14:21:00,,123,119,Core router instability,Fiber Maintenance,1,Assign service assurance follow-up
INC-2026-01899,2026-01-19,2026-01,SITE-0173,Surabaya,Voice,High,Escalated,2026-01-19T12:04:00,,338,344,Power outage,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-02115,2026-01-19,2026-01,SITE-0162,Bandung,IPTV,Medium,Resolved,2026-01-19T12:33:00,2026-01-19T15:07:00,154,211,Access node congestion,Enterprise Support,1,Assign service assurance follow-up
INC-2026-00926,2026-01-20,2026-01,SITE-0028,Denpasar,Voice,Low,Resolved,2026-01-20T19:28:00,2026-01-20T20:09:00,41,51,Customer premises equipment,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00964,2026-01-20,2026-01,SITE-0122,Bandung,Enterprise VPN,Low,Resolved,2026-01-20T03:56:00,2026-01-20T04:36:00,40,18,Customer premises equipment,NOC Core,1,Monitor and resolve in standard queue
INC-2026-01224,2026-01-20,2026-01,SITE-0164,Medan,Voice,Low,Closed,2026-01-20T10:12:00,2026-01-20T11:05:00,53,41,Customer premises equipment,Field Operations,1,Monitor and resolve in standard queue
INC-2026-01955,2026-01-20,2026-01,SITE-0095,Makassar,IPTV,Medium,Closed,2026-01-20T20:00:00,2026-01-20T22:22:00,142,95,Core router instability,Customer Assurance,1,Assign service assurance follow-up
INC-2026-00216,2026-01-21,2026-01,SITE-0083,Surabaya,Mobile Broadband,High,Resolved,2026-01-21T08:50:00,2026-01-21T16:42:00,472,429,Configuration drift,Field Operations,2,Escalate to regional operations lead
INC-2026-00254,2026-01-21,2026-01,SITE-0203,Surabaya,IPTV,Medium,Closed,2026-01-21T22:30:00,2026-01-22T00:27:00,117,74,Access node congestion,Fiber Maintenance,1,Assign service assurance follow-up
INC-2026-00959,2026-01-21,2026-01,SITE-0232,Bandung,Enterprise VPN,High,Closed,2026-01-21T03:40:00,2026-01-21T09:12:00,332,40,Power outage,Enterprise Support,2,Escalate to regional operations lead
INC-2026-01456,2026-01-21,2026-01,SITE-0009,Palembang,IPTV,Critical,Closed,2026-01-21T21:42:00,2026-01-22T05:17:00,455,964,Backhaul packet loss,Fiber Maintenance,3,Open command bridge and dispatch field team
INC-2026-01594,2026-01-21,2026-01,SITE-0226,Semarang,Mobile Broadband,Medium,Resolved,2026-01-21T06:17:00,2026-01-21T08:48:00,151,119,Power outage,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01597,2026-01-21,2026-01,SITE-0169,Palembang,IPTV,Low,Resolved,2026-01-21T20:18:00,2026-01-21T21:23:00,65,26,Configuration drift,NOC Core,1,Monitor and resolve in standard queue
INC-2026-01855,2026-01-21,2026-01,SITE-0160,Balikpapan,Fiber Internet,Low,Resolved,2026-01-21T11:16:00,2026-01-21T12:14:00,58,66,Backhaul packet loss,NOC Core,1,Monitor and resolve in standard queue
INC-2026-02166,2026-01-21,2026-01,SITE-0073,Surabaya,Cloud Connectivity,High,Closed,2026-01-21T03:47:00,2026-01-21T10:47:00,420,356,Fiber cut,Customer Assurance,2,Escalate to regional operations lead
INC-2026-00680,2026-01-22,2026-01,SITE-0217,Yogyakarta,Cloud Connectivity,Critical,Resolved,2026-01-22T20:46:00,2026-01-23T01:06:00,260,1234,Configuration drift,Customer Assurance,3,Open command bridge and dispatch field team
INC-2026-01022,2026-01-22,2026-01,SITE-0075,Makassar,IPTV,Low,Resolved,2026-01-22T17:28:00,2026-01-22T18:02:00,34,25,Access node congestion,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-01245,2026-01-22,2026-01,SITE-0137,Yogyakarta,Enterprise VPN,High,Closed,2026-01-22T03:44:00,2026-01-22T07:22:00,218,267,Backhaul packet loss,Enterprise Support,2,Escalate to regional operations lead
INC-2026-01673,2026-01-22,2026-01,SITE-0062,Bandung,Voice,Medium,Resolved,2026-01-22T01:31:00,2026-01-22T04:27:00,176,50,Customer premises equipment,NOC Core,1,Assign service assurance follow-up
INC-2026-01824,2026-01-22,2026-01,SITE-0116,Semarang,Voice,Low,Resolved,2026-01-22T14:14:00,2026-01-22T15:05:00,51,27,Core router instability,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-01973,2026-01-22,2026-01,SITE-0102,Bandung,Enterprise VPN,Low,Resolved,2026-01-22T18:44:00,2026-01-22T19:25:00,41,21,Core router instability,Field Operations,1,Monitor and resolve in standard queue
INC-2026-02112,2026-01-22,2026-01,SITE-0039,Palembang,IPTV,Medium,Investigating,2026-01-22T10:05:00,,101,79,Configuration drift,Enterprise Support,1,Assign service assurance follow-up
